Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Reflexion Models for State Machine Extraction and Verification,W. Said; J. Quante; R. Koschke,NA; NA; NA,2018 IEEE International Conference on Software Maintenance and Evolution (ICSME),,2018,,,149,159,"High-level design models are often used for describing the behavior or structure of a software system. It is generally much easier and more adequate to understand a software system on this level than on the level of individual code lines. Such models are also created by developers as they gain an understanding of the software. Unfortunately, these models often do not correspond to what is really in the code. Murphy et al. introduced the idea of reflexion models in 1995 to overcome this problem. Their approach is today widely used for architecture conformance checking and reconstruction. In this paper, we introduce reflexion models for state machines. Our approach allows to check the correspondence of a hypothetical state machine model with the code. It returns information about convergence, partial convergence, divergence, or absence of the specified states and transitions. Similar to the original reflexion model, the approach can be used for conformance checking as well as interactive reverse engineering of state machine models. We concentrate on the latter and show the potential of the approach in several case studies.",2576-3148;1063-6773,978-1-5386-7870-1978-1-5386-7871,10.1109/ICSME.2018.00025,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8530025,Software maintenance;program comprehension;state machines;reflexion model;model checking,Software;Computer architecture;Analytical models;Model checking;Cost accounting;Object oriented modeling;Tools,conformance testing;finite state machines;program verification;reverse engineering;software architecture;software maintenance,reflexion models;state machine extraction;high-level design models;software system;individual code lines;architecture conformance checking;state machines;hypothetical state machine model;specified states;original reflexion model;state machine models;interactive reverse engineering,,,31,,,,,IEEE,IEEE Conferences
An Interactive Microarray Call-Graph Visualization,M. D. Shah; S. Z. Guyer,NA; NA,2016 IEEE Working Conference on Software Visualization (VISSOFT),,2016,,,86,90,"In this paper we present an interactive call-graph visualization tool for viewing large programs. Our space-filling grid-based visualization shows the functions of a programs call-graph. The grid view provides an overview of all of the methods, allowing the user to investigate and view subsets of functions, and finally jump to source code for more details on demand. Our tool assists programmers by reducing large call graphs into smaller subgraphs with function relationships that matter for program comprehension. In our benchmarks, we view and explore code relationships in programs with 18,720 functions at interactive frame rates. We provide two use cases with several findings on investigating profile-guided optimizations in C++ and critical sections in concurrent Java programs. Our software visualization tool is Java based and portable across multiple platforms.",,978-1-5090-3850-3978-1-5090-3851,10.1109/VISSOFT.2016.14,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7780162,Java;LLVM;Critical Sections;Concurrency;Program Comprehension;Software Visualization,Visualization;Data visualization;Software;Optimization;Java;Metadata,C++ language;concurrency control;interactive programming;Java;software tools;source code (software),interactive microarray call-graph visualization tool;space-filling grid-based visualization;program call- graph;grid view;source code;function relationships;program comprehension;code relationships;interactive frame rates;profile-guided optimization;C++ language;concurrent Java programs;software visualization tool,,1,20,,,,,IEEE,IEEE Conferences
Mediating Turf Battles! Prioritizing Shared Modules in Locating Multiple Features,M. Nakano; K. Noda; S. Hayashi; T. Kobayashi,NA; NA; NA; NA,2017 IEEE 41st Annual Computer Software and Applications Conference (COMPSAC),,2017,1,,363,368,"Dynamic feature location techniques (DFLTs), which use execution profiles of scenarios that trigger a feature, are a promising approach to locating features in the source code. A sufficient set of scenarios is key to obtaining highly accurate results, however, its preparation is laborious and difficult in practice. In most cases, a scenario exercises not only the desired feature but also other features. We focus on the relationship between a module and multiple features that can be calculated with no extra scenarios, to improve the accuracy of locating the desired feature in the source code. In this paper, we propose a DFLT using the odds ratios of the multiple relationships between modules and features. We use the similarity coefficient, which is used in fault localization techniques, as a relationship. Our DFLT better orders shared modules compared with an existing DFLT. To reduce developer costs in our DFLT, we also propose a filtering technique that uses formal concept analysis. We evaluate our DFLT on the features of an open source software project with respect to developer costs and show that our DFLT outperforms the existing approach, the average cost of our DFLT is almost half that of the state-of-the-art DFLT.",0730-3157,978-1-5386-0367-3978-1-5386-0368,10.1109/COMPSAC.2017.167,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8029629,Feature Location;Program Comprehension;Fault Localization;Dynamic Analysis;Formal Concept Analysis,Tools;Lattices;Formal concept analysis;Open source software;Conferences;Electronic mail,formal concept analysis;public domain software;software fault tolerance,shared modules;dynamic feature location techniques;DFLT;multiple features location;fault localization techniques;similarity coefficient;formal concept analysis;open source software project,,,14,,,,,IEEE,IEEE Conferences
On the automatic modularization of software systems using the Bunch tool,B. S. Mitchell; S. Mancoridis,"Dept. of Comput. Sci., Drexel Univ., Philadelphia, PA, USA; Dept. of Comput. Sci., Drexel Univ., Philadelphia, PA, USA",IEEE Transactions on Software Engineering,,2006,32,3,193,208,"Since modern software systems are large and complex, appropriate abstractions of their structure are needed to make them more understandable and, thus, easier to maintain. Software clustering techniques are useful to support the creation of these abstractions by producing architectural-level views of a system's structure directly from its source code. This paper examines the Bunch clustering system which, unlike other software clustering tools, uses search techniques to perform clustering. Bunch produces a subsystem decomposition by partitioning a graph of the entities (e.g., classes) and relations (e.g., function calls) in the source code. Bunch uses a fitness function to evaluate the quality of graph partitions and uses search algorithms to find a satisfactory solution. This paper presents a case study to demonstrate how Bunch can be used to create views of the structure of significant software systems. This paper also outlines research to evaluate the software clustering results produced by Bunch.",0098-5589;1939-3520;2326-3881,,10.1109/TSE.2006.31,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1610610,Clustering;reverse engineering;reengineering;program comprehension;optimization;maintainability.,Software systems;Software tools;Software maintenance;Clustering algorithms;Reverse engineering;Software quality;Search problems;Software performance;Partitioning algorithms;Chaos,software architecture;software maintenance;reverse engineering;systems re-engineering;software tools;search problems,automatic modularization;Bunch software clustering tool;software system abstraction;software system architectural-level view;graph partition;search algorithm;reverse engineering;software system reengineering;program comprehension;software maintainability,,231,56,,,,,IEEE,IEEE Journals
Awareness and Comprehension in Software/Systems Engineering Practice and Education: Trends and Research Directions,M. Schots; C. Werner; M. Mendonça,NA; NA; NA,2012 26th Brazilian Symposium on Software Engineering,,2012,,,186,190,"The creation of tools, techniques and methodologies to support the manipulation of large data sets has been receiving special attention of both scientific and industrial communities, in order to discover new ways of dealing with the underlying information, including learning purposes, identification of patterns, decision making support, amongst others. However, making use of computing resources to enhance awareness and understanding of software information and the software itself is still a challenge in software/systems engineering, since it involves the identification of suitable mechanisms, adequate abstractions, and studies on stimulation of the human perceptive and cognitive abilities. This paper presents some of the challenges in this context, based on current trends of software development lifecycle, program comprehension, and software engineering education. At the end, a special focus is given on ongoing research on using and improving current mechanisms for supporting software reuse practices and software comprehension in general.",,978-0-7695-4868-5978-1-4673-4472,10.1109/SBES.2012.25,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6337872,software engineering;awareness;program comprehension;software visualization;software engineering education;grand challenges,Software;Software engineering;Education;Visualization;Conferences;Industries;Data visualization,computer science education;software reusability,software-system engineering practice;software-system engineering education;software information awareness;software information understanding;human perceptive stimulation;cognitive ability;software development lifecycle;program comprehension;software engineering education;software reuse practices;software comprehension,,,40,,,,,IEEE,IEEE Conferences
D-Cube: Tool for Dynamic Design Discovery from Multi-threaded Applications Using PIN,S. Majumdar; N. Chatterjee; S. R. Sahoo; P. P. Das,NA; NA; NA; NA,"2016 IEEE International Conference on Software Quality, Reliability and Security (QRS)",,2016,,,25,32,"Program comprehension is a major challenge for system maintenance. Reverse engineering has been employed for control-flow analysis of applications but not much work has been done for comprehending concurrent non-deterministic behavior of multi-threaded applications. We present D-CUBE, built using dynamic instrumentation APIs, which plugs in during execution and infers various thread models like concurrency, safety, data access, thread-pool state, exception model etc. for multi-threaded applications at runtime. We extract run-time events traced according to pre-specified logic and feed them to decision trees for inference. We use 3 benchmark suites (LOC: 50-3200) -- CDAC Pthreads benchmark [1] (18 Cases), Open POSIX Test-Suites [2] (21 Cases) and PARSEC 3.0 benchmarks [3] (3 Cases) for accuracy and volume testing and validate our approach by comparing the documented behavior of test-suites with D-CUBE's output models. We achieve over 90% accuracy. D-CUBE produces graphical event-traces with every inference for quick and effective comprehension of large code.",,978-1-5090-4127-5978-1-5090-4128,10.1109/QRS.2016.13,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7589781,Concurrency Models;Multi-threaded Program Analysis;Dynamic Instrumentation;Execution Patterns;Program Comprehension;Reverse-Engineering,Concurrent computing;Feature extraction;Instruction sets;Benchmark testing;Pins;Data models;Instruments,application program interfaces;concurrency (computers);decision trees;multi-threading;program testing;reverse engineering;software maintenance,D-Cube;dynamic design discovery;multithreaded applications;PIN;program comprehension;system maintenance;reverse engineering;control-flow analysis;dynamic instrumentation APIs;decision trees;CDAC Pthreads benchmark;Open POSIX Test-Suites;PARSEC 3.0 benchmarks;volume testing;graphical event-traces,,,23,,,,,IEEE,IEEE Conferences
An Approach for Mapping Features to Code Based on Static and Dynamic Analysis,A. Rohatgi; A. Hamou-Lhadj; J. Rilling,NA; NA; NA,2008 16th IEEE International Conference on Program Comprehension,,2008,,,236,241,"System evolution depends greatly on the ability of a maintainer to locate source code that is specific to feature implementation. Existing feature location techniques require either exercising several features of the system, or rely heavily on domain experts to guide the feature location process. In this paper, we present a novel approach for feature location that combines static and dynamic analysis techniques. An execution trace is generated by exercising the feature under study (dynamic analysis). A component dependency graph (static analysis) is used to rank the components invoked in the trace according to their relevance to the feature. Our ranking technique is based on the impact of a component modification on the rest of the system. The proposed approach is automatic to a large extent relieving users from any decision that would otherwise require extensive domain knowledge of the system. A case study is presented to support and evaluate the applicability of our approach.",1092-8138,978-0-7695-3176,10.1109/ICPC.2008.35,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4556137,Feature location;dynamic analysis;static analysis;program comprehension,Software maintenance;Information analysis;Computer science;Software engineering;Indexing;Unified modeling language;Information resources;Performance analysis;Software performance;Reconnaissance,data flow analysis;software maintenance,mapping features;static analysis;dynamic analysis;system evolution;feature location;component dependency graph,,15,13,,,,,IEEE,IEEE Conferences
How to Interconnect Operational and Behavioral Views of Web Applications,D. C. d. Cruz; R. F. C. d. Fonseca; P. M. R. S. Henriques; M. J. V. Pereira,NA; NA; NA; NA,2008 16th IEEE International Conference on Program Comprehension,,2008,,,263,267,"In the context of our research project, we are looking for program comprehension tools that are able to interconnect operational and behavioral views, aiming at aiding the programmer to relate problem and program domains to reach a full understanding of software systems. In particular we have been studying the adaptation of that principle to Web applications. In this context, we had designed and implemented a tool called WebAppViewer. In this paper, we emphasize the development of the module (BORS) that is responsible for providing interconnection functionalities and we propose a tool demonstration. A dedicated Web server is included in the system to allow the execution of the piece of code selected by the user. This feature is used to relate the source text (html, php, etc) executed by the server, with the web page received by the client. Code instrumentation is used to collect dynamic information.",1092-8138,978-0-7695-3176,10.1109/ICPC.2008.25,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4556141,WebAppViewer;operational view;behavior view;web applications;program comprehension,Application software;Software systems;Web server;HTML;Dynamic programming;Data mining;Computer science;Programming profession;Web pages;Instruments,Internet;software engineering,Web applications;program comprehension tools;software systems;WebAppViewer;code instrumentation,,,15,,,,,IEEE,IEEE Conferences
A Look into Programmers' Heads,N. Peitek; J. Siegmund; S. Apel; C. Kästner; C. Parnin; A. Bethmann; T. Leich; G. Saake; A. Brechmann,"SLNIB, Leibniz-Institut fur Neurobiologie, 28390 Magdeburg, Saxony Anhalt Germany (e-mail: norman.peitek@lin-magdeburg.de); Department of Informatics and Mathematics, University of Passau, Passau, Bavaria Germany 94032 (e-mail: Janet.Siegmund@uni-passau.de); Department of Informatics and Mathematics, University of Passau, Passau, Bavaria Germany 94032 (e-mail: apel@uni-passau.de); Institute for Software Reserach, Carnegie Mellon University, Pittsburgh, Pennsylvania United States 15213-3890 (e-mail: kaestner@cs.cmu.edu); Computer Science, North Carolina State University, Raleigh, North Carolina United States 27608 (e-mail: cjparnin@ncsu.edu); SLNIB, Leibniz-Institut fur Neurobiologie, 28390 Magdeburg, Sachsen-Anhalt Germany (e-mail: bethmann@lin-magdeburg.de); Applied Computer Science, Metop Research Institute, Magdeburg, Saxony-Anhalt Germany (e-mail: thomas.leich@metop.de); Department of Computer Science, Otto-von-Guericke Universitaet Magdeburg, Magdeburg, Saxony Anhalt Germany (e-mail: saake@iti.cs.uni-magdeburg.de); SLNIB, Leibniz-Institut fur Neurobiologie, 28390 Magdeburg, Sachsen-Anhalt Germany (e-mail: brechmann@lin-magdeburg.de)",IEEE Transactions on Software Engineering,,2018,PP,99,1,1,"Program comprehension is an important, but hard to measure cognitive process. This makes it difficult to provide suitable programming languages, tools, or coding conventions to support developers in their everyday work. Here, we explore whether functional magnetic resonance imaging (fMRI) is feasible for soundly measuring program comprehension. To this end, we observed 17 participants inside an fMRI scanner while they were comprehending source code. The results show a clear, distinct activation of five brain regions, which are related to working memory, attention, and language processing, which all fit well to our understanding of program comprehension. Furthermore, we found reduced activity in the default mode network, indicating the cognitive effort necessary for program comprehension. We also observed that familiarity with Java as underlying programming language reduced cognitive effort during program comprehension. To gain confidence in the results and the method, we replicated the study with 11 new participants and largely confirmed our findings. Our results encourage us and, hopefully, others to use fMRI to observe programmers and, in the long run, answer questions, such as: How should we train programmers? Can we train someone to become an excellent programmer? How effective are new languages and tools for program comprehension?",0098-5589;1939-3520;2326-3881,,10.1109/TSE.2018.2863303,National Science Foundation; Deutsche Forschungsgemeinschaft; Defense Advanced Research Projects Agency; Bayerisches Staatsministerium fur Bildung und Kultus Wissenschaft und Kunst; H2020 European Research Council; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8425769,Functional magnetic resonance imaging;program comprehension,Functional magnetic resonance imaging;Task analysis;Cognition;Brain;Programming;Blood,,,,,,,,,,IEEE,IEEE Early Access Articles
Automated Slicing of Aspect-Oriented Programs Using Bytecode Analysis,D. Munjal; J. Singh; S. Panda; D. P. Mohapatra,NA; NA; NA; NA,2015 IEEE 39th Annual Computer Software and Applications Conference,,2015,2,,191,199,"Program slicing has numerous applications in software engineering activities like debugging, testing, maintenance, model checking etc. The main objective of this paper is to automate the generation of System Dependency Graphs (SDG) for aspect-oriented programs to efficiently compute accurate slices. The construction of SDG is automated by analysing the byte code of aspect-oriented programs that incorporates the representation of aspect-oriented features. After constructing the SDG, we propose a slicing algorithm that uses the intermediate graph and computes slices for a given AOP. To implement our proposed slicing technique, we have developed a prototype tool that takes an AOP as input and compute its slices using our proposed slicing algorithm. To evaluate our proposed technique, we have considered some case studies by taking open source projects. The comparative study of our proposed slicing algorithm with some existing algorithms show that our approach is an efficient and scalable approach of slicing for different applications with respect to aspect-oriented programs.",0730-3157,978-1-4673-6564-2978-1-4673-6563,10.1109/COMPSAC.2015.98,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7273618,Program Slicing;intermediate graph;aspects;Aspect-Oriented Program;weaving;program comprehension,Weaving;Algorithm design and analysis;Debugging;Complexity theory;Programming;Heuristic algorithms;Computers,aspect-oriented programming;graph theory;program slicing;public domain software;systems analysis,program slicing;aspect-oriented program;bytecode analysis;system dependency graph;SDG;open source project,,2,16,,,,,IEEE,IEEE Conferences
Building Domain Specific Dictionaries of Verb-Object Relation from Source Code,Y. Hayase; Y. Kashima; Y. Manabe; K. Inoue,NA; NA; NA; NA,2011 15th European Conference on Software Maintenance and Reengineering,,2011,,,93,100,"An identifier is an important key in mapping program elements onto domain knowledge for the purpose of program comprehension. Therefore, if identifiers in a program have inappropriate names, developers can waste a lot of time trying to understand the program. This paper proposes a method for extracting and gathering verb-object (V-O) relations, as good examples of naming, from source code written in an object-oriented programming language. For each of several application domains, dictionaries containing the V-O relations are built and evaluated by software developers. The evaluation results confirm that the relations in the dictionaries are adequate in many cases.",1534-5351;1534-5351,978-1-61284-259-2978-0-7695-4343,10.1109/CSMR.2011.15,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5741251,naming convention;programmer's lexicon;program comprehension,Dictionaries;Pattern matching;Software;Java;XML;Databases;Graphical user interfaces,object-oriented languages;programming languages;software maintenance,domain specific dictionary;verb-object relation;program comprehension;source code;object-oriented programming language,,4,13,,,,,IEEE,IEEE Conferences
SArF map: Visualizing software architecture from feature and layer viewpoints,K. Kobayashi; M. Kamimura; K. Yano; K. Kato; A. Matsuo,"Software Systems Laboratories, Fujitsu Laboratories Ltd., Kawasaki, Japan; Software Systems Laboratories, Fujitsu Laboratories Ltd., Kawasaki, Japan; Software Systems Laboratories, Fujitsu Laboratories Ltd., Kawasaki, Japan; Software Systems Laboratories, Fujitsu Laboratories Ltd., Kawasaki, Japan; Software Systems Laboratories, Fujitsu Laboratories Ltd., Kawasaki, Japan",2013 21st International Conference on Program Comprehension (ICPC),,2013,,,43,52,"To facilitate understanding the architecture of a software system, we developed SArF Map technique that visualizes software architecture from feature and layer viewpoints using a city metaphor. SArF Map visualizes implicit software features using our previous study, SArF dependency-based software clustering algorithm. Since features are high-level abstraction units of software, a generated map can be directly used for high-level decision making such as reuse and also for communications between developers and non-developer stakeholders. In SArF Map, each feature is visualized as a city block, and classes in the feature are laid out as buildings reflecting their software layer. Relevance between features is represented as streets. Dependency links are visualized lucidly. Through open source and industrial case studies, we show that the architecture of the target systems can be easily overviewed and that the quality of their packaging designs can be quickly assessed.",1092-8138,978-1-4673-3092,10.1109/ICPC.2013.6613832,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6613832,Software visualization;city metaphor;software architecture;program comprehension;software clustering;dependency graph,Software;Cities and towns;Layout;Buildings;Software algorithms;Clustering algorithms;Visualization,decision making;program visualisation;reverse engineering;software architecture,SArF map;software architecture visualization;software feature viewpoints;software layer viewpoints;software system architecture understanding;city metaphor;SArF dependency-based software clustering algorithm;high-level abstraction units;high-level decision making;reuse;city block;dependency links,,7,25,,,,,IEEE,IEEE Conferences
Immediacy through Interactivity: Online Analysis of Run-time Behavior,M. Perscheid; B. Steinert; R. Hirschfeld; F. Geller; M. Haupt,NA; NA; NA; NA; NA,2010 17th Working Conference on Reverse Engineering,,2010,,,77,86,"Visualizations of actual run-time data support the comprehension of programs, like examples support the explanation of abstract concepts and principles. Unfortunately, the required run-time analysis is often associated with an inconvenient overhead that renders current tools impractical for frequent use. We propose an interactive approach to collect and present run-time data. An initial shallow analysis provides for immediate access to visualizations of run-time information. As users explore this information, it is incrementally refined on-demand. We present an implementation that realizes our proposed approach and enables developers to instantly explore run-time behavior of selected code entities. We evaluate our interactive approach by measuring time and memory overhead in the context of ten different-sized projects. Our empirical results show that run-time data for an initial overview can be collected in less than 300 milliseconds for 95% of cases.",2375-5369;1095-1350,978-1-4244-8911,10.1109/WCRE.2010.17,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5645442,program comprehension;dynamic analysis;object collaboration;test cases;development environments,Observers;Clocks;Instruments;Visualization;Indexes;Concrete,program diagnostics;program visualisation,online analysis;run-time behavior;program visualizations;run-time data;program comprehension;run-time analysis;interactive approach;initial shallow analysis;run-time information;selected code entity;memory overhead,,5,31,,,,,IEEE,IEEE Conferences
Explaining Why Methods Change Together,A. Lozano; C. Noguera; V. Jonckers,NA; NA; NA,2014 IEEE 14th International Working Conference on Source Code Analysis and Manipulation,,2014,,,185,194,"By analyzing historical information from Source Code Management systems, previous research has observed that certain methods tend to change together consistently. Co-change has been identified as a good predictor of the entities that are likely to be affected by a change, which ones might be missing modifications, and which ones might change in the future. However, existing co-change analysis provides no insight on why methods consistently co-change. Being able to identify the rationale that explains co-changes could allow to document and enforce design knowledge. This paper proposes an automatic approach to derive the reason behind a co-change. We define the reason of a (set) of co-changes as a set of properties common to the elements that co-change. We consider two kinds of properties: structural properties which indicate explicit dependencies, and semantic properties which reveal implicit dependencies. Then we attempt to identify the reasons behind single commits, as well as the reasons behind co-changes that repeatedly affect the same set of methods. These sets of methods are identified by clustering methods that tend to be modified in the same commit-transactions. We perform our analysis over the history of two open-source systems, analyzing nearly 19.000 methods and over 3700 commits. We show that it is possible to automatically extract explanations for co-changes, that the quality of such explanations improves when structural and semantic properties are taken into account, and when the methods analyzed co-change recurrently.",,978-1-4799-6148,10.1109/SCAM.2014.27,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6975652,Co-change;Empirical software engineering;Program comprehension,Semantics;History;Documentation;Measurement;Java;Libraries;Clustering methods,pattern clustering;program diagnostics;public domain software,co-change analysis;structural properties;explicit dependencies;semantic properties;implicit dependencies;clustering methods;commit-transactions;open-source systems,,1,18,,,,,IEEE,IEEE Conferences
On the use of visual clustering to identify landmarks in code navigation,S. Reddivari; M. Kotapalli,"School of Computing, University of North Florida, Jacksonville, Florida, USA 32224; School of Computing, University of North Florida, Jacksonville, Florida, USA 32224","2017 IEEE 15th International Conference on Software Engineering Research, Management and Applications (SERA)",,2017,,,219,228,"Recovering the legibility features is key to reverse engineering as the legible software systems can ease developer's code navigation and comprehension. Landmarks are important legibility features that developers use as reference points. In this paper, we leverage visual clustering to explore how landmarks can be identified via static dependencies. Besides organizing software entities with coherent patterns, visual clustering offers additional insights by rigorously rendering a holistic picture of the code base to the two-dimensional space. We contribute a couple of heuristics based on the cluster layout to identify the landmark files. Our visual exploration of Eclipse Mylyn open source Java project reveals developer's reliance on the landmarks during code navigation and shows the promise of using static dependencies to uncover the landmarks in the software space.",,978-1-5090-5756-6978-1-5090-5757,10.1109/SERA.2017.7965731,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7965731,software clustering;program comprehension;code navigation;visual clustering;software exploration;layout-based clustering;software visualization;static dependencies,Navigation;Visualization;Software systems;Reverse engineering;Layout;Urban areas,Java;pattern clustering;program visualisation;public domain software;reverse engineering;source code (software),visual clustering;landmark identification;code navigation;legibility feature recovery;reverse engineering;legible software systems;code comprehension;static dependencies;software entities;2D space;Eclipse Mylyn open source Java project,,,53,,,,,IEEE,IEEE Conferences
Architecture recovery and abstraction from the perspective of processes,Li Qingshan; Chu Hua; Hu Shengming; Chen Ping; Zhao Yun,"Software Eng. Inst., XiDian Univ., Xi'an, China; Software Eng. Inst., XiDian Univ., Xi'an, China; Software Eng. Inst., XiDian Univ., Xi'an, China; Software Eng. Inst., XiDian Univ., Xi'an, China; Software Eng. Inst., XiDian Univ., Xi'an, China",12th Working Conference on Reverse Engineering (WCRE'05),,2005,,,10 pp.,66,"For the increasing complexity of software systems, the main work of software development, maintenance and evolution has been focused on the comprehension of the existing systems. In order to help users comprehend at all aspects and levels of a target system, it is necessary to reversely recover and abstract its high-level architecture, which can reflect the framework and holistic behavioral features of the software system. This paper deals with the problems of architecture recovery from the perspective of process. An approach of extracting process structure graph (PSG) from a target system is presented based on the features of the relations among processes on UNIX platform. First, the static code fragment of a dynamic process can be recognized, then a mapping algorithm that can identify the correspondence between the dynamic process ID and the static process module is given. On the basis of the algorithm, an incremental construction algorithm of PSG and a slicing algorithm for class structure in a process module are implemented respectively. The experimental results show that the extracted PSG is correct, effective and can reflect the high-level structure of the target system in detail at the process level.",1095-1350;2375-5369,0-7695-2474,10.1109/WCRE.2005.6,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1566146,Reverse Engineering;Program Comprehension;Architecture Recovery;Process;Object Orientation,Software systems;Computer architecture;Software maintenance;Costs;Software engineering;Programming;Reverse engineering;Software design;Modular construction;Computer science,software architecture;software reusability;formal specification;program slicing;software maintenance;software metrics;Unix,architecture recovery;architecture abstraction;software system complexity;software development;software maintenance;software evolution;high-level architecture;process structure graph;UNIX platform;static code fragment;mapping algorithm;dynamic process ID;static process module;incremental construction algorithm;slicing algorithm;class structure;reverse engineering;program comprehension,,8,26,,,,,IEEE,IEEE Conferences
"Patcher: An Online Service for Detecting, Viewing and Patching Web Application Vulnerabilities",F. Yu; Y. Tung,NA; NA,2014 47th Hawaii International Conference on System Sciences,,2014,,,4878,4886,"Web application security becomes a critical issue as more and more web applications appear and serve common life and business routines in recent years. It is known that web applications are vulnerable due to software defects. Open to public users, vulnerable websites may encounter lots of malicious attacks from the Internet. We present a new web service platform where system developers can detect, view and patch potential vulnerabilities of their web applications online. Taking advantage of static string analysis techniques, our analysis ensures that the patched programs are free from vulnerabilities with respect to given attack patterns. Specifically, we integrate the service front end with program visualization techniques, developing a 3D interface/presentation for users to access and view the analysis result under visualization environment with the aim of improving users' comprehension on programs, especially how vulnerabilities get exploited and patched. We report our analysis result on several open source applications, finding and patching various unknown/known vulnerabilities.",1530-1605,978-1-4799-2504,10.1109/HICSS.2014.598,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6759201,visualization;web security;string analysis;program comprehension,Security;Visualization;Automata;Mobile handsets;Web services;Three-dimensional displays;Reachability analysis,program diagnostics;program visualisation;public domain software;security of data;software maintenance;Web services;Web sites,Patcher;online service;Web application vulnerability detection;Web application vulnerability viewing;Web application vulnerability patching;Web application security;software defects;Web sites;malicious attacks;Internet;Web service platform;static string analysis techniques;service front end integration;program visualization techniques;3D interface development;3D presentation development;open source applications;program comprehension,,,33,,,,,IEEE,IEEE Conferences
Automatically detecting and describing high level actions within methods,G. Sridhara; L. Pollock; K. Vijay-Shanker,"University of Delaware, Newark, DE, USA; University of Delaware, Newark, DE, USA; University of Delaware, Newark, DE, USA",2011 33rd International Conference on Software Engineering (ICSE),,2011,,,101,110,"One approach to easing program comprehension is to reduce the amount of code that a developer has to read. Describing the high level abstract algorithmic actions associated with code fragments using succinct natural language phrases potentially enables a newcomer to focus on fewer and more abstract concepts when trying to understand a given method. Unfortunately, such descriptions are typically missing because it is tedious to create them manually. We present an automatic technique for identifying code fragments that implement high level abstractions of actions and expressing them as a natural language description. Our studies of 1000 Java programs indicate that our heuristics for identifying code fragments implementing high level actions are widely applicable. Judgements of our generated descriptions by 15 experienced Java programmers strongly suggest that indeed they view the fragments that we identify as representing high level actions and our synthesized descriptions accurately express the abstraction.",1558-1225;0270-5257,978-1-4503-0445-0978-1-4503-0445,10.1145/1985793.1985808,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6032449,documentation;program comprehension,Natural languages;Pragmatics;Java;Syntactics;Documentation;Semantics;Software,Java;natural language processing;program compilers;program diagnostics,high level actions;program comprehension;high level abstract algorithmic actions;code fragments;succinct natural language phrases;abstract concepts;automatic technique;natural language description;Java programs;Java programmers,,39,24,,,,,IEEE,IEEE Conferences
Ensuring Well-Behaved Usage of APIs through Syntactic Constraints,M. Feilkas; D. Ratiu,NA; NA,2008 16th IEEE International Conference on Program Comprehension,,2008,,,248,253,"Libraries are the most widespreaded form of software reuse. In order to properly use a library API, its clients should fulfill a series of (many times implicit) assumptions made by the API programmers. Failing to fulfill these assumptions leads to a misuse of the library and thereby to defects in the client's code. In this paper we present a method for checking a well-behaved usage of an API through a set of context-sensitive syntactic constraints over the API clients. These constraints restrict the set of programs that can be written with an API only to programs that fulfill the API assumptions and thereby represent a well-behaved and valid usage of the API. In this paper we present a set of typical assumption classes made by API providers about their clients. We define a framework for formalizing the context- sensitive constraints over the API client code and propose a typical constraint for each class of assumptions. Thereby we provide a mechanism that allows the provider of an API to describe the knowledge of how an API is intended to be used in an automatically checkable form. We present our experience with parts of the Java Standard APIs.",1092-8138,978-0-7695-3176,10.1109/ICPC.2008.12,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4556139,Syntactic Constraints;Static Analysis;Program Comprehension,Java;Software libraries;Packaging;Programming profession;Documentation;Testing;Computer bugs;Computer languages;Writing,application program interfaces,context-sensitive syntactic constraint;API client;application program interfaces,,4,11,,,,,IEEE,IEEE Conferences
