Document Title	Document Title - ajusted	DOI	PDF Link	Authors	Author Affiliations	Publication Title	Date Added To Xplore	Publication Year	Volume	Issue	Start Page	End Page	Abstract	ISSN	ISBNs	Funding Information	Author Keywords	IEEE Terms	INSPEC Controlled Terms	INSPEC Non-Controlled Terms	Mesh_Terms	Article Citation Count	Patent Citation Count	Reference Count	License	Online Date	Issue Date	Meeting Date	Publisher	Document Identifier
Sequence Diagram Slicing	sequence diagram slicing	10.1109/APSEC.2009.35	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5358692	K. Noda; T. Kobayashi; K. Agusa; S. Yamamoto	Graduate School of Information Science, University of Nagoya, Nagoya, Aichi, Japan; Graduate School of Information Science, University of Nagoya, Nagoya, Aichi, Japan; Graduate School of Information Science, University of Nagoya, Nagoya, Aichi, Japan; Aichi Prefectural University, Aichi, Japan	2009 16th Asia-Pacific Software Engineering Conference	28 Dec 2009	2009			291	298	Software visualization with sequence diagrams is one of the promising techniques aimed at helping developers comprehend the behavior of object-oriented systems effectively. However, it is still difficult to understand this behavior, because the size of automatically generated sequence diagrams tends to be beyond the developer's capacity. In this paper, we propose a sequence diagram slicing method, which is an extension of our previous method based on a dynamic slicing technique using static information. Our proposed method is capable of accurate slice calculation based on high-precision data dependency and can support various programs, including exceptions and multithreading. In addition, our proposed new tool performs slice calculations on the Eclipse platform and we demonstrate the applicability of this method by applying the tool to two Java programs as case studies. The results confirm the effectiveness of our proposed method for understanding the behavior of object-oriented systems.	1530-1362	978-0-7695-3909-6		Sequence Diagram;Program Slicing;Reverse Engineering;Program Comprehension;Program Maintenance;Debugging	Project management;Software engineering;Computer science;Conference management;Engineering management;Programming profession;Component architectures;Computer languages;Instruments;Testing	Java;object-oriented programming;program slicing;program visualisation	sequence diagram slicing method;software visualization;object-oriented systems;dynamic slicing technique;static information;slice calculation;Eclipse platform;Java programs;multithreading		7		13		28 Dec 2009			IEEE	IEEE Conferences
Identifying Core Objects for Trace Summarization Using Reference Relations and Access Analysis	identifying core objects for trace summarization using reference relations and access analysis	10.1109/COMPSAC.2017.142	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8029585	K. Noda; T. Kobayashi; T. Toda; N. Atsumi	Tokyo institute of Technology, Japan; Tokyo institute of Technology, Japan; Nihon Unisys Ltd., Japan; Kyoto University, Japan	2017 IEEE 41st Annual Computer Software and Applications Conference (COMPSAC)	11 Sep 2017	2017	1		13	22	Behaviors of an object-oriented system can be visualized as reverse-engineered sequence diagrams from execution traces. This approach is a valuable tool for program comprehension tasks. However, owing to the massiveness of information contained in an execution trace, a reverse-engineered sequence diagram is often afflicted by a scalability issue. To address this issue, we present in this paper a method for identifying core objects for trace summarization by reference relations and access analysis. We detect and eliminate temporary objects that are trivial for a system, and then estimate the importance of non-trivial objects. By grouping objects with a focus on highly important ones (i.e., core objects), we visualize the system's behavior in terms of intergroup interactions. Consequently, we obtain a readable size of a reverse-engineered sequence diagram containing the system's key behavior. We implemented our technique in our tool and evaluated it by using traces from open-source software systems. The results showed that our reverse-engineered sequence diagrams contained only less than 30 lifelines, whereas the original diagrams (no abstraction methods were applied) contained approximately 1,000 to 3,000 lifelines. Our proposed method achieved significant reduction of the horizontal size of the diagram and is expected to be a valuable tool for program comprehension.	0730-3157	978-1-5386-0367-3		Dynamic Analysis;Reverse-engineered Sequence Diagram;Trace Summarization;Core Object;Program Comprehension	Visualization;Object recognition;Tools;Scalability;Software systems;Open source software;Frequency estimation	object-oriented methods;public domain software;reverse engineering	core objects;trace summarization;reference relations;access analysis;object-oriented system;reverse-engineered sequence diagrams;execution traces;program comprehension tasks;nontrivial objects;intergroup interactions;system key behavior;open-source software systems		7		34		11 Sep 2017			IEEE	IEEE Conferences
Measuring the Accuracy of Information Retrieval Based Bug Localization Techniques	measuring the accuracy of information retrieval based bug localization techniques	10.1109/WCRE.2011.23	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6079835	M. Beard; N. Kraft; L. Etzkorn; S. Lukins	Computer Science Department, University of Alabama in Huntsville, Huntsville, AL, USA; University of Alabama, Tuscaloosa, AL, USA; Computer Science Department, University of Alabama in Huntsville, Huntsville, AL, USA; SAIC, Huntsville, AL, USA	2011 18th Working Conference on Reverse Engineering	17 nov. 2011	2011			124	128	Bug localization involves using information about a bug to locate affected code sections. Several automated bug localization techniques based on information retrieval (IR) models have been constructed recently. The "gold standard" of measuring an IR technique's accuracy considers the technique's ability to locate a "first relevant method." However, the question remains -- does finding this single method enable the location of a complete set of affected methods? Previous arguments assume this to be true, however, few analyses of this assumption have been performed. In this paper, we perform a case study to test the reliability of this "gold standard" assumption. To further measure IR accuracy in the context of bug localization, we analyze the relevance of the IR model's "first method returned." We use various structural analysis techniques to extend relevant methods located by IR techniques and determine accuracy and reliability of these assumptions.	2375-5369	978-1-4577-1948-6		program comprehension;feature identification;concept location;static analysis;information retrieval;latent Dirichlet allocation;latent semantic indexing	Accuracy;Computer bugs;Large scale integration;Gold;Magnetic resonance;Semantics;Reliability	information retrieval;program debugging;software maintenance	automated bug localization techniques;information retrieval models;gold standard assumption;first method returned		7		15		17 nov. 2011			IEEE	IEEE Conferences
Clustering and recommending collections of code relevant to tasks	clustering and recommending collections of code relevant to tasks	10.1109/ICSM.2011.6080826	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6080826	S. Lee; S. Kang	Department of Computer Science, KAIST, Daejeon, South Korea; Department of Computer Science, KAIST, Daejeon, South Korea	2011 27th IEEE International Conference on Software Maintenance (ICSM)	17 nov. 2011	2011			536	539	When performing software evolution tasks, programmers spend a significant amount of time exploring the code base to find methods, fields or classes that are relevant to the task at hand. We propose a new clustering approach called NavClus to recommend collections of code relevant to tasks. By gradually aggregating navigation sequences from programmers' interaction history, NavClus clusters pieces of code that are contextually related. The resulting clusters become the basis for NavClus to recommend collections of code that are likely to be relevant to the programmer's given task. We compare NavClus and TeamTracks, the state of the art code recommender for sharing navigation data among programmers. The results show that NavClus recommends pieces of code relevant to tasks considerably better than TeamTracks.	1063-6773	978-1-4577-0664-6		program comprehension;code navigation;data clustering techniques;context aware recommendation systems	Navigation;History;Context;Productivity;Couplings;Software systems	pattern clustering;recommender systems;software maintenance;ubiquitous computing	collection clustering;collection recommendation;software evolution tasks;NavClus clusters;navigation sequences;TeamTracks;software systems;context aware recommendation systems;program comprehension;data clustering techniques		6		13		17 nov. 2011			IEEE	IEEE Conferences
A History Querying Tool and Its Application to Detect Multi-version Refactorings	a history querying tool and its application to detect multiversion refactorings	10.1109/CSMR.2013.44	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6498483	R. Stevens; C. De Roover; C. Noguera; V. Jonckers	Software Languages Laboratory, Vrije Universiteit Brussel, Brussels, Belgium; Software Languages Laboratory, Vrije Universiteit Brussel, Brussels, Belgium; Software Languages Laboratory, Vrije Universiteit Brussel, Brussels, Belgium; Software Languages Laboratory, Vrije Universiteit Brussel, Brussels, Belgium	2013 17th European Conference on Software Maintenance and Reengineering	15 Apr 2013	2013			335	338	Version Control Systems (VCS) have become indispensable in developing software. In order to provide support for change management, they track the history of software projects. Tool builders can exploit this latent historical information to provide insights in the evolution of the project. For example, the information needed to identify when and where a particular refactoring was applied is implicitly present in the VCS. However, tool support for eliciting this information is lacking. So far, no general-purpose history querying tool capable of answering a wide variety of questions about the evolution of software exists. Therefore, we generalize the idea of a program querying tool to a history querying tool. A program querying tool reifies the program's code into a knowledge base, from which it retrieves elements that exhibit characteristics specified through a user-provided program query. Our history querying tool, QwalKeko, enables specifying the evolution of source code characteristics across multiple versions of Java projects versioned in Git. We apply QwalKeko to the problem of detecting refactorings, specified as the code changes induced by each refactoring. These specifications stem from the literature, but are limited to changes between two successive versions. We demonstrate the expressiveness of our tool by generalizing the specifications such that refactorings can span multiple versions.	1534-5351	978-0-7695-4948-4		program comprehension tools;software repositories;refactoring	History;Java;Database languages;Europe;Software maintenance;Control systems	configuration management;Java;query processing;software maintenance	history querying tool;multiversion refactoring detection;VCS;version control system;software development;change management;QwalKeko history querying tool;user-provided program query;Java project		6		12		15 Apr 2013			IEEE	IEEE Conferences
Identifying computational phases from inter-process communication traces of HPC applications	identifying computational phases from interprocess communication traces of hpc applications	10.1109/ICPC.2012.6240481	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6240481	L. Alawneh; A. Hamou-Lhadj	Software Behaviour Analysis (SBA) Research Laboratory, Department of Electrical and Computer Engineering, Concordia University, Montreal, QUE, Canada; Software Behaviour Analysis (SBA) Research Laboratory, Department of Electrical and Computer Engineering, Concordia University, Montreal, QUE, Canada	2012 20th IEEE International Conference on Program Comprehension (ICPC)	16 jul. 2012	2012			133	142	Understanding the behaviour of High Performance Computing (HPC) systems is a challenging task due to the large number of processes they involve as well as the complex interactions among these processes. In this paper, we present a novel approach that aims to simplify the analysis of large execution traces generated from HPC applications. We achieve this through a technique that allows semiautomatic extraction of execution phases from large traces. These phases, which characterize the main computations of the traced scenario, can be used by software engineers to browse the content of a trace at different levels of abstraction. Our approach is based on the application of information theory principles to the analysis of sequences of communication patterns found in HPC traces. The results of the proposed approach when applied to traces of a large HPC industrial system demonstrate its effectiveness in identifying the main program phases and their corresponding sub-phases.	1092-8138	978-1-4673-1216-5		program comprehension;dynamic analysis;high performance computing aystems;inter-process communication traces;execution phases	Phase detection;Entropy;Data models;Algorithm design and analysis;Topology;Message passing;Equations	distributed processing;information theory	computational phase identification;interprocess communication traces;HPC applications;high performance computing systems;execution trace analysis;execution phase semiautomatic extraction;information theory principles;communication pattern sequence;HPC industrial system;program phases		6	1	30		16 jul. 2012			IEEE	IEEE Conferences
Visually Analyzing Students' Gaze on C++ Code Snippets	visually analyzing students gaze on c++ code snippets	10.1109/EMIP.2019.00011	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8834703	C. S. Peterson; J. A. Saddler; T. Blascheck; B. Sharif	Department of Computer Science and Engineering, University of Nebraska-Lincoln, Lincoln, Nebraska, USA 68588; Department of Computer Science and Engineering, University of Nebraska-Lincoln, Lincoln, Nebraska, USA 68588; Inria, Saclay, France; Department of Computer Science and Engineering, University of Nebraska-Lincoln, Lincoln, Nebraska, USA 68588	2019 IEEE/ACM 6th International Workshop on Eye Movements in Programming (EMIP)	12 Sep 2019	2019			18	25	The paper presents an eye tracking study with 17 students (12 novices, 5 non-novices) reading C++ methods. The novices were students who participated in the study during the last week of their semester learning C++. The non-novices were senior students who had been exposed to programming before. We report on the reading behavior of three C++ methods that use different language constructs. We analyze fixations at the line level of the code using visualizations to derive insights into code reading. Results show that most transitions were made to code lines that are close to the current line read. We observe that a large percentage of the total fixation duration is made on a small number of lines and that related lines are often viewed together in a series of short fixations.		978-1-7281-2243-4		eye tracking;visual analysis;program comprehension;C++ source code;scanpaths;transitions	Data visualization;C++ languages;Gaze tracking;Programming;Tools;Task analysis;Visualization	computer science education;data visualisation;gaze tracking;human factors	code lines;C++ code;eye tracking study;senior students;reading behavior;code reading;language constructs;student gaze		6		14		12 Sep 2019			IEEE	IEEE Conferences
ComFormer: Code Comment Generation via Transformer and Fusion Method-based Hybrid Code Representation	comformer code comment generation via transformer and fusion methodbased hybrid code representation	10.1109/DSA52907.2021.00013	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9622968	G. Yang; X. Chen; J. Cao; S. Xu; Z. Cui; C. Yu; K. Liu	Computer School, Beijing Information Science and Technology University, China; Ministry of Industry and Information Technology, Key Laboratory of Safety-Critical Software, Nanjing University of Aeronautics and Astronautics, China; Computer School, Beijing Information Science and Technology University, China; Computer School, Beijing Information Science and Technology University, China; Ministry of Industry and Information Technology, Key Laboratory of Safety-Critical Software, Nanjing University of Aeronautics and Astronautics, China; Computer School, Beijing Information Science and Technology University, China; Computer School, Beijing Information Science and Technology University, China	2021 8th International Conference on Dependable Systems and Their Applications (DSA)	1 Dec 2021	2021			30	41	Developers often write low-quality code comments due to the lack of programming experience, which can reduce the efficiency of developers' program comprehension. Therefore, developers hope that code comment generation tools can be developed to illustrate the functionality and purpose of the code. Recently, researchers mainly model this problem as the neural machine translation problem and tend to use deep learning-based methods. In this study, we propose a novel method ComFormer based on Transformer and fusion method-based hybrid code presentation. Moreover, to alleviate OOV (out-of-vocabulary) problem and speed up model training, we further utilize the Byte-BPE algorithm to split identifiers and Sim_SBT method to perform AST Traversal. We compare ComFormer with seven state-of-the-art baselines from code comment generation and neural machine translation domains. Comparison results show the competitiveness of ComFormer in terms of three performance measures. Moreover, we perform a human study to verify that ComFormer can generate high-quality comments.	2767-6684	978-1-6654-4391-3	National Natural Science Foundation of China; Nanjing University of Aeronautics and Astronautics; 	Program Comprehension;Code Comment Generation;Hybrid Code Representation;Transformer;Empirical Study	Training;Learning systems;Codes;Tools;Programming;Transformers;Hybrid power systems	convolutional neural nets;deep learning (artificial intelligence);language translation;natural language processing;program compilers;public domain software;sensor fusion	Transformer;fusion method-based hybrid code representation;low-quality code comments;programming experience;code comment generation tools;neural machine translation problem;deep learning-based methods;fusion method-based hybrid code presentation;Sim_SBT method;ComFormer method;Byte-BPE algorithm;AST traversal		6		56	IEEE	1 Dec 2021			IEEE	IEEE Conferences
Can clone detection support test comprehension?	can clone detection support test comprehension	10.1109/ICPC.2012.6240490	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6240490	B. Hauptmann; M. Junker; S. Eder; E. Juergens; R. Vaas	Technische Universität München, Garching Bei Munchen, Germany; Technische Universität München, Garching Bei Munchen, Germany; Technische Universität München, Garching Bei Munchen, Germany; CQSE GmbH, Munchen, Germany; Munich Re Group, Munchen, Germany	2012 20th IEEE International Conference on Program Comprehension (ICPC)	16 jul. 2012	2012			209	218	Tests are central artifacts of software systems. Therefore, understanding tests is essential for activities such as maintenance, test automation, and efficient execution. Redundancies in tests may significantly decrease their understandability. Clone detection is a technique to find similar parts in software artifacts. We suggest using this technique to gain a better understanding of tests and to provide guidance for testing activities. We show the capabilities as well as the limits of this approach by conducting a case study analyzing more than 4000 tests of seven industrial software systems.	1092-8138	978-1-4673-1216-5		Program Comprehension;Software Testing;Software Maintenance;Clone Detection	Cloning;Manuals;Testing;Automation;Inspection;Optimization;Maintenance engineering	program testing	clone detection;test comprehension;software system central artifacts;industrial software systems		6		32		16 jul. 2012			IEEE	IEEE Conferences
Slicing and replaying code change history	slicing and replaying code change history	10.1145/2351676.2351713	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6494927	K. Maruyama; E. Kitsu; T. Omori; S. Hayashi	Department of Computer Science, Ritsumeikan University, Japan; Graduate School of Science and Engineering, Ritsumeikan University, Japan; Department of Computer Science, Ritsumeikan University, Japan; Department of Computer Science, Tokyo Institute of Technology, Japan	2012 Proceedings of the 27th IEEE/ACM International Conference on Automated Software Engineering	8 Apr 2013	2012			246	249	Change-aware development environments have recently become feasible and reasonable. These environments can automatically record fine-grained code changes on a program and allow programmers to replay the recorded changes in chronological order. However, they do not always need to replay all the code changes to investigate how a particular entity of the program has been changed. Therefore, they often skip several code changes of no interest. This skipping action is an obstacle that makes many programmers hesitate in using existing replaying tools. This paper proposes a slicing mechanism that can extract only code changes necessary to construct a particular class member of a Java program from the whole history of past code changes. In this mechanism, fine-grained code changes are represented by edit operations recorded on source code of a program. The paper also presents a running tool that implements the proposed slicing and replays its resulting slices. With this tool, programmers can avoid replaying edit operations nonessential to the construction of class members they want to understand.		978-1-4503-1204-2		Code change;Integrated development environments;Program comprehension;Program slicing;Software maintenance and evolution		Java;software maintenance	code change history;change-aware development environment;fine-grained code change;skipping action;slicing mechanism;Java program;edit operation;program source code;running tool;software maintenance		6		13		8 Apr 2013			IEEE	IEEE Conferences
Using Grammar Patterns to Interpret Test Method Name Evolution	using grammar patterns to interpret test method name evolution	10.1109/ICPC52881.2021.00039	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463038	A. Peruma; E. Hu; J. Chen; E. A. AlOmar; M. W. Mkaouer; C. D. Newman	Rochester Institute of Technology, Rochester, NY, USA; Tufts University, Medford, MA, USA; Stony Brook University, Stony Brook, NY, USA; Rochester Institute of Technology, Rochester, NY, USA; Rochester Institute of Technology, Rochester, NY, USA; Rochester Institute of Technology, Rochester, NY, USA	2021 IEEE/ACM 29th International Conference on Program Comprehension (ICPC)	28 jun. 2021	2021			335	346	It is good practice to name test methods such that they are comprehensible to developers; they must be written in such a way that their purpose and functionality are clear to those who will maintain them. Unfortunately, there is little automated support for writing or maintaining the names of test methods. This can lead to inconsistent and low-quality test names and increase the maintenance cost of supporting these methods. Due to this risk, it is essential to help developers in maintaining their test method names over time. In this paper, we use grammar patterns, and how they relate to test method behavior, to understand test naming practices. This data will be used to support an automated tool for maintaining test names.	2643-7171	978-1-6654-1403-6	National Science Foundation; 	Program Comprehension;Test Method Names;Rename Refactoring;Part of speech Tags;Grammar Pattern	Tools;Maintenance engineering;Grammar	grammars;program testing;software maintenance;software quality	maintenance cost;test method names;low-quality test names;automated support;test naming practices;grammar patterns		6		75		28 jun. 2021			IEEE	IEEE Conferences
Cognitive task difficulty analysis using EEG and data mining	cognitive task difficulty analysis using eeg and data mining	10.1109/ICEDSS.2017.8073658	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8073658	A. Duraisingam; R. Palaniappan; S. Andrews	Data Science (E-Health) Research Group, University of Kent, Chatham, UK; Data Science (E-Health) Research Group, University of Kent, Chatham, UK; Mahendra Engineering College, Salem, India	2017 Conference on Emerging Devices and Smart Systems (ICEDSS)	19 Oct 2017	2017			52	57	Existing research on task difficulty and program comprehension mainly concentrate on brain areas related to attention and meditation. In this research, an in-depth analysis of Task Difficulty Level (TDL) for program comprehension is proposed with features extracted from different areas of the brain. Two levels of task difficulty were analysed: easy and difficult. Eight students were asked to solve nine Java programs of different difficulty level and the subject's cognitive load was recorded using EEG. Four different feature extraction methods were used for analysis - Energy, Frequency ratio, Event Related De-Synchronization (ERD) and Asymmetry ratio and Naïve Bayes classifier was used for classifying different TDL. The results indicated that the recorded EEG signals could reflect TDL for program comprehension tasks for predicting easy and difficult tasks. The classifier predicted task difficulty (easy/difficult) of a new task with an overall correctly classified accuracy of 76.55% with a precision of 80.03% and recall of 76.66%. This in-depth analysis of TDL for program comprehension tasks using EEG could support in developing future generation learning tools.		978-1-5090-5555-5		Electroencephalogram;Naive Bayes classifier;Program comprehension;Task difficulty	Electroencephalography;Feature extraction;Java;Cognition;Electrodes;Tools	Bayes methods;cognition;data mining;electroencephalography;feature extraction;Java;learning (artificial intelligence);medical signal processing;signal classification	program comprehension tasks;easy tasks;in-depth analysis;cognitive task difficulty analysis;data mining;brain areas;Task Difficulty Level;Java programs;Naïve Bayes classifier;feature extraction methods;cognitive load;frequency ratio;event related desynchronization;asymmetry ratio;learning tools;EEG signal;meditation		5		22		19 Oct 2017			IEEE	IEEE Conferences
Towards Behavioral Reflexion Models	towards behavioral reflexion models	10.1109/ISSRE.2009.27	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5362111	C. Ackermann; M. Lindvall; R. Cleaveland	Center of Experimental Software Engineering, Fraunhofer USA, College Park, MD, USA; Center of Experimental Software Engineering, Fraunhofer USA, College Park, MD, USA; Center of Experimental Software Engineering, Fraunhofer USA, College Park, MD, USA	2009 20th International Symposium on Software Reliability Engineering	28 Dec 2009	2009			175	184	Software architecture has become essential in the struggle to manage today's increasingly large and complex systems. Software architecture views are created to capture important system characteristics on an abstract and, thus, comprehensible level. As the system is implemented and later maintained, it often deviates from the original design specification. Such deviations can have implication for the quality of the system, such as reliability, security, and maintainability. Software architecture compliance checking approaches, such as the reflexion model technique, have been proposed to address this issue by comparing the implementation to a model of the systems' architecture design. However, architecture compliance checking approaches focus solely on structural characteristics and ignore behavioral conformance. This is especially an issue in Systems-of-Systems. Systems-of-Systems (SoS) are decompositions of large systems, into smaller systems for the sake of flexibility. Deviations of the implementation to its behavioral design often reduce the reliability of the entire SoS. An approach is needed that supports the reasoning about behavioral conformance on architecture level.In order to address this issue, we have developed an approach for comparing the implementation of a SoS to an architecture model of its behavioral design. The approach follows the idea of reflexion models and adopts it to support the compliance checking of behaviors. In this paper, we focus on sequencing properties as they play an important role in many SoS. Sequencing deviations potentially have a severe impact on the SoS' correctness and qualities. The desired behavioral specification is defined in UML sequence diagram notation and behaviors are extracted from the SoS implementation. The behaviors are then mapped to the model of the desired behavior and the two are compared. Finally, a reflexion model is constructed that shows the deviations between behavioral design and implementation. This paper discusses the approach and shows how it can be applied to investigate reliability issues in SoS.	2332-6549	978-1-4244-5375-7		Software engineering;software reliability;behavioral analysis;program comprehension;behavior verification	Computer architecture;Software architecture;Documentation;Maintenance;Security;Software reliability;Software engineering;Software quality;Reliability engineering;Educational institutions	large-scale systems;reliability;software architecture;Unified Modeling Language	behavioral reflexion models;software architecture;complex systems;original design specification;reliability;security;maintainability;reflexion model technique;architecture compliance checking;ignore behavioral conformance;systems of systems;behavioral design implementation;behavioral conformance architecture level;compliance checking behaviors;sequencing deviations potentially;UML sequence diagram notation;SoS implementation		5		14		28 Dec 2009			IEEE	IEEE Conferences
Impact of Limited Memory Resources	impact of limited memory resources	10.1109/ICPC.2008.31	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4556120	D. Binkley; D. Lawrie; S. Maex; C. Morrell	Loyola College, Baltimore, MD, USA; Loyola College, Baltimore, MD, USA; Loyola College, Baltimore, MD, USA; Loyola College, Baltimore, MD, USA	2008 16th IEEE International Conference on Program Comprehension	2 jul. 2008	2008			83	92	Since early variable mnemonics were limited to as few as six to eight characters, many early programmers abbreviated concepts in their variable names. The past thirty years has seen a steady increase in permitted name length and, slowly, an increase in the actual length of identifiers. However, in theory names can be too long. Most obviously, in object-oriented programs, names often involve chaining of method calls and field selectors (e.g., class.firstAssignment().name.trim()). While longer names bring the potential for easier comprehension through more embedded sub-words, there are practical limits to length given limited human memory resources. The central hypothesis studied herein is that names used in modern programs have reached this limit. Statistical models derived from an experiment involving 158 programmers of varying degrees of experience show that longer names extracted from production code take more time to process and reduce correctness in a simple recall activity. This has clear negative implications for any attempt to read, and hence comprehend or manipulate, the source code of modern software. The experiment also evaluates the advantage of identifiers having ties to a programmer's persistent memory. Combined these results reinforce past proposals advocating the use of limited, consistent, and regular vocabulary in identifier names. In particular, good naming limits length and reduces the need for specialized vocabulary.	1092-8138	978-0-7695-3176-2		program comprehension;memory;identifier names	Programming profession;Humans;Production;Vocabulary;Computer languages;Educational institutions;USA Councils;Object oriented modeling;Proposals;Natural languages	object-oriented programming;program compilers;resource allocation	object-oriented program;human memory resource;statistical model;modern software;source code;programmer persistent memory;program compiler		5		13		2 jul. 2008			IEEE	IEEE Conferences
Modeling the ownership of source code topics	modeling the ownership of source code topics	10.1109/ICPC.2012.6240485	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6240485	C. S. Corley; E. A. Kammer; N. A. Kraft	Department of Computer Science, University of Alabama, Tuscaloosa, AL, USA; Department of Computer Science, University of Alabama, Tuscaloosa, AL, USA; Department of Computer Science, University of Alabama, Tuscaloosa, AL, USA	2012 20th IEEE International Conference on Program Comprehension (ICPC)	16 jul. 2012	2012			173	182	Exploring linguistic topics in source code is a program comprehension activity that shows promise in helping a developer to become familiar with an unfamiliar software system. Examining ownership in source code can reveal complementary information, such as who to contact with questions regarding a source code entity, but the relationship between linguistic topics and ownership is an unexplored area. In this paper we combine software repository mining and topic modeling to measure the ownership of linguistic topics in source code. We conduct an exploratory study of the relationship between linguistic topics and ownership in source code using 10 open source Java systems. We find that classes that belong to the same linguistic topic tend to have similar ownership characteristics, which suggests that conceptually related classes often share the same owner(s). We also find that similar topics tend to share the same ownership characteristics, which suggests that the same developers own related topics.	1092-8138	978-1-4673-1216-5		program comprehension;mining software repositories;ownership;topic modeling;pachinko allocation model	Pragmatics;Software;Data mining;Correlation;Java;Probability distribution;Resource management	data mining;Java;linguistics;public domain software;reverse engineering;source coding	ownership modelling;source code topics;linguistic topics;program comprehension activity;ownership examination;software repository mining;topic modeling;open source Java systems		5		36		16 jul. 2012			IEEE	IEEE Conferences
Locating the Meaning of Terms in Source Code Research on "Term Introduction"	locating the meaning of terms in source code research on term introduction	10.1109/WCRE.2011.21	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6079832	J. Nonnen; D. Speicher; P. Imhoff	Computer Science III, University of Bonn, Bonn, Germany; Computer Science III, University of Bonn, Bonn, Germany; Computer Science III, University of Bonn, Bonn, Germany	2011 18th Working Conference on Reverse Engineering	17 nov. 2011	2011			99	108	Software developers are often facing the challenge of understanding a large code base. Program comprehension is not only achieved by looking at object interactions, but also by considering the meaning of the identifiers and the contained terms. Ideally, the source code should exemplify this meaning. We propose to call the source code locations that define the meaning of a term term introduction. We further derive a heuristic to determine the introduction location with the help of an explorative study. This study was performed on 8000 manually evaluated samples gained from 30 open source projects. To support reproducibility, all samples and classifications are also available online. The achieved results show a precision of 75% for the heuristic.	2375-5369	978-1-4577-1948-6		identifier analysis;name meaning;empirical evaluation;explorative approach;program comprehension;source code analysis	Context;Dictionaries;Libraries;Vocabulary;Speech;Algorithm design and analysis;Measurement	reverse engineering	source code analysis;term introduction;program comprehension		5		31	IEEE	17 nov. 2011			IEEE	IEEE Conferences
CoRA: Decomposing and Describing Tangled Code Changes for Reviewer	cora decomposing and describing tangled code changes for reviewer	10.1109/ASE.2019.00101	https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8952413	M. Wang; Z. Lin; Y. Zou; B. Xie	Key Laboratory of High Condence Software Technologies, Ministry of Education, Beijing, China and the School of Electronics Engineering and Computer Science, Peking University, Beijing, China; Microsoft Research, Beijing, China; Key Laboratory of High Condence Software Technologies, Ministry of Education, Beijing, China and the School of Electronics Engineering and Computer Science, Peking University, Beijing, China; Key Laboratory of High Condence Software Technologies, Ministry of Education, Beijing, China and the School of Electronics Engineering and Computer Science, Peking University, Beijing, China	2019 34th IEEE/ACM International Conference on Automated Software Engineering (ASE)	9 jan. 2020	2019			1050	1061	Code review is an important mechanism for code quality assurance both in open source software and industrial software. Reviewers usually suffer from numerous, tangled and loosely related code changes that are bundled in a single commit, which makes code review very difficult. In this paper, we propose CoRA (Code Review Assistant), an automatic approach to decompose a commit into different parts and generate concise descriptions for reviewers. More specifically, CoRA can decompose a commit into independent parts (e.g., bug fixing, new feature adding, or refactoring) by code dependency analysis and tree-based similar-code detection, then identify the most important code changes in each part based on the PageRank algorithm and heuristic rules. As a result, CoRA can generate a concise description for each part of the commit. We evaluate our approach in seven open source software projects and 50 code commits. The results indicate that CoRA can improve the accuracy of decomposing code changes by 6.3% over the state-ofart practice. At the same time, CoRA can identify the important part from the fine-grained code changes with a mean average precision (MAP) of 87.7%. We also conduct a human study with eight participants to evaluate the performance and usefulness of CoRA, the user feedback indicates that CoRA can effectively help reviewers.	2643-1572	978-1-7281-2508-4		Code review;Code changes decomposition;Code changes description;Program comprehension	Natural languages;Computer bugs;Tools;Clustering algorithms;Java;Open source software	program debugging;public domain software;quality assurance;software quality	reviewer;code quality assurance;industrial software;tangled related code changes;Code Review Assistant;concise description;CoRA;code dependency analysis;tree-based similar-code detection;open source software projects;decomposing code changes;fine-grained code changes;tangled code changes		5		53		9 jan. 2020			IEEE	IEEE Conferences
